satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
STARLINK-38184,STARLINK-37375,100180,100228,12858.43440242453,2.2746289038777565,0.0,12858.43440242453,LOW,10
STARLINK-38158,STARLINK-38101,100105,100110,12858.697660476284,14.715868959807656,0.03126284620887221,12858.697652246245,LOW,10
STARLINK-38081,STARLINK-38189,100153,100213,12859.914457206649,14.783058720224092,0.0,12859.914457206649,LOW,10
2026-168A,STARLINK-38149,100129,100169,12860.817008999507,13.039257998429344,0.0,12860.817008999507,LOW,10
SPACEMOBILE-013,STARLINK-38167,100240,100257,12872.83523013712,13.357905767202043,41.5391716237433,12860.870853458888,LOW,10
STARLINK-38132,STARLINK-38150,100154,100167,12861.056758483435,14.724975087979795,0.0,12861.056758483435,LOW,10
STARLINK-38149,2026-178A,100169,100237,12861.437589715953,14.038293465152472,0.0,12861.437589715953,LOW,10
2026-170D,STARLINK-38112,100146,100181,12861.482834484143,5.623558546552188,0.0,12861.482834484143,LOW,10
CZ-6A R/B,STARLINK-38163,100177,100250,13013.448775710904,12.930125196700851,153.18450772327574,12861.831008744886,LOW,10
STARLINK-38121,STARLINK-38263,100156,100264,12862.121539883783,14.69629773766011,1.297403598641403,12862.107407230189,LOW,10
2026-168B,STARLINK-38141,100130,100188,13250.90070909208,7.663809348721717,415.6984304636192,12862.225095220649,LOW,10
STARLINK-38223,GLOBALSTAR 2-R OBJECT A,100190,100325,12862.452718025732,6.514526513506109,0.0,12862.452718025732,LOW,10
STARLINK-38195,STARLINK-37717,100196,100226,12863.919323043148,4.708120912999765,0.0,12863.919323043148,LOW,10
STARLINK-38134,STARLINK-38111,100123,100152,12864.448544033732,14.857497908980761,0.0,12864.448544033732,LOW,10
STARLINK-38104,HULIANWANG DIGUI-179,100185,100204,12864.878901220254,7.743781912547213,0.0,12864.878901220254,LOW,10
STARLINK-38149,STARLINK-38172,100169,100214,12865.060903179796,14.56551117996505,0.0,12865.060903179796,LOW,10
STARLINK-37740,SPACEMOBILE-012,100102,100241,12921.20455147099,14.488726639876928,82.2412148816729,12866.144987908327,LOW,10
STARLINK-38030,STARLINK-38223,100118,100190,12867.459012523483,3.910667154956699,0.0,12867.459012523483,LOW,10
